                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.32716,                0.34541,                 0.2433,                0.93866,                 0.9991,                      1,                  0.995,                 0.9413,                 0.9991,                      1,                  0.995,                0.97768,                0.30073,                0.29135,                0.21609,                0.90948,               0.000515,               0.000515,               0.000515
                     77,                0.33997,                0.33834,                0.24209,                0.94231,                0.99912,                      1,                  0.995,                0.95428,                0.99912,                      1,                  0.995,                0.97583,                0.28299,                0.30542,                0.28304,                0.89838,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.3505,                0.32717,                0.25057,                0.95102,                0.99928,                      1,                  0.995,                0.95202,                0.99928,                      1,                  0.995,                0.97567,                0.29891,                0.29611,                0.20786,                 0.9097,              0.0004754,              0.0004754,              0.0004754
                     79,                0.31749,                0.32895,                0.23062,                0.93452,                0.99924,                      1,                  0.995,                0.93805,                0.99924,                      1,                  0.995,                0.97607,                0.31034,                0.31546,                0.20115,                0.91978,              0.0004556,              0.0004556,              0.0004556
                     80,                0.32371,                0.32906,                0.23532,                0.93484,                0.99925,                      1,                  0.995,                0.94073,                0.99925,                      1,                  0.995,                0.97654,                0.30937,                0.30862,                0.22786,                0.91455,              0.0004358,              0.0004358,              0.0004358
                     81,                0.31848,                0.31443,                0.22517,                0.93287,                0.99874,                      1,                  0.995,                0.94647,                0.99874,                      1,                  0.995,                0.97526,                0.29046,                0.29261,                0.21499,                0.91727,               0.000416,               0.000416,               0.000416
                     82,                0.31625,                 0.3101,                0.23052,                0.93405,                0.99918,                      1,                  0.995,                0.94396,                0.99918,                      1,                  0.995,                0.97364,                0.28383,                0.30413,                0.19104,                0.89237,              0.0003962,              0.0003962,              0.0003962
                     83,                0.29863,                0.29799,                 0.2213,                0.92194,                0.99929,                      1,                  0.995,                0.94519,                0.99929,                      1,                  0.995,                0.98188,                0.27103,                0.27701,                0.18605,                0.88968,              0.0003764,              0.0003764,              0.0003764
                     84,                0.33074,                0.34068,                 0.2377,                0.94475,                0.99926,                      1,                  0.995,                0.93942,                0.99926,                      1,                  0.995,                 0.9779,                0.28893,                0.30435,                0.20266,                0.90729,              0.0003566,              0.0003566,              0.0003566
                     85,                0.32398,                0.33274,                0.22659,                 0.9372,                0.99917,                      1,                  0.995,                0.94164,                0.99917,                      1,                  0.995,                0.97872,                0.28774,                  0.285,                0.20176,                0.90363,              0.0003368,              0.0003368,              0.0003368
                     86,                0.31155,                 0.3196,                0.22306,                0.93833,                0.99859,                      1,                  0.995,                0.94623,                0.99859,                      1,                  0.995,                0.98068,                0.28798,                0.28506,                0.19102,                0.89244,               0.000317,               0.000317,               0.000317
                     87,                0.30026,                0.30212,                0.22242,                0.92866,                0.99892,                      1,                  0.995,                0.94964,                0.99892,                      1,                  0.995,                0.98058,                0.28402,                0.27839,                0.19358,                0.89386,              0.0002972,              0.0002972,              0.0002972
                     88,                0.31495,                0.30848,                0.21925,                0.93657,                0.99927,                      1,                  0.995,                0.94062,                0.99927,                      1,                  0.995,                0.97778,                0.27774,                0.27543,                 0.1929,                0.88997,              0.0002774,              0.0002774,              0.0002774
                     89,                0.31178,                0.30477,                0.22156,                0.93238,                0.99924,                      1,                  0.995,                0.94585,                0.99924,                      1,                  0.995,                0.97475,                0.28419,                0.28365,                0.19849,                 0.8993,              0.0002576,              0.0002576,              0.0002576
                     90,                0.30745,                0.30338,                0.21578,                0.93579,                0.99929,                      1,                  0.995,                0.94786,                0.99929,                      1,                  0.995,                0.97984,                0.30811,                 0.2964,                 0.2028,                0.91091,              0.0002378,              0.0002378,              0.0002378
                     91,                0.26434,                0.22886,                0.20313,                0.95959,                0.99974,                      1,                  0.995,                0.95078,                0.99974,                      1,                  0.995,                0.97883,                 0.2925,                 0.2743,                 0.1896,                0.90137,               0.000218,               0.000218,               0.000218
                     92,                   0.25,                0.21676,                  0.177,                0.95152,                0.99921,                      1,                  0.995,                0.95345,                0.99921,                      1,                  0.995,                0.97737,                0.30174,                0.29148,                0.20774,                0.90682,              0.0001982,              0.0001982,              0.0001982
                     93,                0.25386,                0.22062,                0.18068,                0.95244,                0.99925,                      1,                  0.995,                0.95685,                0.99925,                      1,                  0.995,                0.98076,                0.27883,                 0.2859,                0.18979,                0.89234,              0.0001784,              0.0001784,              0.0001784
                     94,                0.24556,                0.22069,                0.17902,                0.95045,                0.99909,                      1,                  0.995,                0.95729,                0.99909,                      1,                  0.995,                0.98295,                0.29356,                0.27817,                 0.1897,                0.89732,              0.0001586,              0.0001586,              0.0001586
                     95,                0.24601,                0.22673,                0.17593,                0.94868,                0.99918,                      1,                  0.995,                0.95562,                0.99918,                      1,                  0.995,                0.97974,                0.28742,                0.28768,                0.19713,                0.89424,              0.0001388,              0.0001388,              0.0001388
                     96,                0.25809,                0.22329,                 0.1852,                0.96601,                 0.9992,                      1,                  0.995,                 0.9545,                 0.9992,                      1,                  0.995,                0.98082,                0.30724,                 0.2813,                0.19675,                0.91259,               0.000119,               0.000119,               0.000119
                     97,                0.24165,                0.21696,                 0.1734,                 0.9311,                0.99906,                      1,                  0.995,                0.96228,                0.99906,                      1,                  0.995,                0.98116,                0.28005,                0.27197,                0.18299,                0.88377,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.24221,                0.21269,                0.16706,                0.94824,                0.99912,                      1,                  0.995,                0.96164,                0.99912,                      1,                  0.995,                0.98109,                0.26457,                0.26973,                0.17286,                0.87439,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.24445,                0.20834,                0.17157,                0.95248,                0.99897,                      1,                  0.995,                0.96025,                0.99897,                      1,                  0.995,                 0.9829,                0.27883,                0.27121,                0.18204,                0.87948,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.23193,                0.20297,                0.16646,                0.92838,                0.99896,                      1,                  0.995,                0.96066,                0.99896,                      1,                  0.995,                0.98216,                0.27816,                0.27142,                0.18262,                0.88516,               3.98e-05,               3.98e-05,               3.98e-05
