Long,Lat
126.314331,33.3058694
126.3143296,33.3058698
126.3143282,33.3058701
126.3143269,33.3058704
126.3143256,33.3058706
126.3143242,33.3058708
126.314323,33.3058713
126.3143216,33.3058715
126.3143204,33.3058718
126.3143191,33.3058721
126.3143179,33.3058725
126.3143167,33.3058728
126.3143156,33.3058731
126.3143144,33.3058734
126.3143133,33.3058738
126.3143121,33.305874
126.3143111,33.3058743
126.31431,33.3058747
126.3143089,33.305875
126.3143078,33.3058753
126.3143065,33.3058757
126.3143054,33.3058759
126.3143041,33.305876
126.3143029,33.3058762
126.3143016,33.3058766
126.3143002,33.3058768
126.3142988,33.3058771
126.3142974,33.3058773
126.314296,33.3058776
126.3142946,33.3058779
126.3142931,33.3058782
126.3142917,33.3058784
126.3142902,33.3058787
126.3142887,33.305879
126.3142873,33.3058793
126.3142858,33.3058796
126.3142843,33.3058798
126.3142828,33.30588
126.3142814,33.3058802
126.3142798,33.3058805
126.3142783,33.3058806
126.3142768,33.3058808
126.3142752,33.305881
126.3142737,33.3058811
126.3142721,33.3058813
126.3142706,33.3058815
126.3142691,33.3058817
126.3142675,33.3058818
126.314266,33.3058821
126.3142645,33.3058824
126.314263,33.3058827
126.3142614,33.305883
126.3142599,33.3058833
126.3142584,33.3058836
126.3142569,33.305884
126.3142555,33.3058843
126.314254,33.3058847
126.3142524,33.3058849
126.3142509,33.3058848
126.3142494,33.305885
126.3142479,33.3058852
126.3142465,33.3058852
126.3142451,33.3058854
126.3142437,33.3058856
126.3142422,33.3058857
126.3142409,33.3058857
126.3142396,33.3058858
126.3142384,33.3058859
126.3142372,33.3058861
126.3142359,33.3058862
126.3142347,33.3058863
126.3142335,33.3058864
126.3142324,33.3058866
126.3142313,33.3058866
126.3142302,33.3058867
126.3142292,33.3058868
126.3142282,33.3058869
126.3142272,33.3058869
126.3142262,33.3058871
126.3142254,33.3058871
126.3142244,33.3058872
126.3142236,33.3058872
126.3142228,33.3058873
126.3142221,33.3058873
126.3142213,33.3058873
126.3142206,33.3058873
126.31422,33.3058873
126.3142192,33.3058874
126.3142186,33.3058874
126.314218,33.3058874
126.3142175,33.3058874
126.3142169,33.3058874
126.3142163,33.3058875
126.3142158,33.3058875
126.3142153,33.3058875
126.3142147,33.3058875
126.3142142,33.3058875
126.3142138,33.3058875
126.3142132,33.3058876
126.3142127,33.3058876
126.3142121,33.3058876
126.3142114,33.3058876
126.3142108,33.3058876
126.3142101,33.3058876
126.3142093,33.3058876
126.3142085,33.3058876
126.3142078,33.3058877
126.3142071,33.3058875
126.3142062,33.3058876
126.3142054,33.3058876
126.3142045,33.3058876
126.3142037,33.3058876
126.314203,33.3058876
126.3142021,33.3058876
126.3142014,33.3058877
126.3142008,33.3058876
126.3142001,33.3058876
126.3141995,33.3058875
126.3141989,33.3058876
126.3141987,33.3058875
126.3141986,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141986,33.3058875
126.3141986,33.3058875
126.3141986,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058876
126.3141985,33.3058875
126.3141985,33.3058876
126.3141985,33.3058876
126.3141985,33.3058875
126.3141985,33.3058875
126.3141985,33.3058875
126.3141984,33.3058876
126.3141982,33.3058876
126.314198,33.3058876
126.3141977,33.3058876
126.3141974,33.3058877
126.3141971,33.3058877
126.3141967,33.3058877
126.3141963,33.3058877
126.3141958,33.3058878
126.3141954,33.3058878
126.3141949,33.3058879
126.3141943,33.3058879
126.3141938,33.305888
126.3141932,33.3058881
126.3141926,33.3058881
126.314192,33.3058882
126.3141919,33.3058882
126.3141918,33.3058882
126.3141916,33.3058882
126.3141917,33.3058883
126.3141917,33.3058882
126.3141916,33.3058882
126.3141916,33.3058883
126.3141916,33.3058883
126.3141915,33.3058883
126.3141914,33.3058883
126.3141912,33.3058883
126.314191,33.3058883
126.3141908,33.3058883
126.3141904,33.3058883
126.3141901,33.3058883
126.3141897,33.3058883
126.3141893,33.3058882
126.3141889,33.3058882
126.3141884,33.3058883
126.3141879,33.3058883
126.3141874,33.3058883
126.3141867,33.3058883
126.3141862,33.3058883
126.3141855,33.3058882
126.3141848,33.3058882
126.3141841,33.3058882
126.3141833,33.3058881
126.3141825,33.3058882
126.3141817,33.3058881
126.3141808,33.3058881
