Long,Lat,UTM_X(East),UTM_Y(North)
126.3146826,33.3054586,249980.17343529,3688369.51678934
126.314682,33.3054587,249980.117840833,3688369.52931991
126.3146822,33.3054592,249980.137895787,3688369.58429732
126.3146823,33.3054594,249980.147780442,3688369.60624031
126.3146809,33.3054595,249980.017679176,3688369.62068974
126.3146806,33.3054598,249979.990596076,3688369.65468359
126.3146801,33.3054604,249979.945743227,3688369.72243143
126.3146797,33.3054609,249979.909918076,3688369.77884799
126.3146793,33.3054616,249979.87466423,3688369.85744739
126.3146787,33.3054622,249979.820498032,3688369.92543509
126.3146787,33.3054629,249979.822497589,3688370.00307507
126.3146779,33.3054638,249979.750561643,3688370.10481675
126.3146776,33.3054648,249979.7254781,3688370.21645058
126.3146772,33.3054658,249979.691081211,3688370.32832426
126.3146769,33.3054667,249979.665712021,3688370.42886666
126.3146766,33.3054679,249979.641199786,3688370.56268333
126.3146762,33.3054692,249979.60765985,3688370.70783129
126.314676,33.3054702,249979.591889664,3688370.81922526
126.3146749,33.3054712,249979.492299329,3688370.93277795
126.3146748,33.3054723,249979.486128146,3688371.05502348
126.3146749,33.3054734,249979.498583661,3688371.17678929
126.3146752,33.3054744,249979.529380223,3688371.28698397
126.3146755,33.3054756,249979.56074809,3688371.41936149
126.3146759,33.3054767,249979.601143651,3688371.54040773
126.3146766,33.3054778,249979.669479261,3688371.6607344
126.3146768,33.3054784,249979.689819866,3688371.72680323
126.3146768,33.3054787,249979.69067682,3688371.76007751
126.314677,33.3054788,249979.709589169,3688371.77068922
126.3146771,33.3054788,249979.718902517,3688371.77044936
126.3146769,33.3054787,249979.699990169,3688371.75983765
126.3146766,33.3054788,249979.672335774,3688371.77164865
126.3146766,33.3054787,249979.672050122,3688371.76055722
126.3146765,33.3054786,249979.662451122,3688371.74970566
126.3146765,33.3054786,249979.662451122,3688371.74970566
126.3146763,33.3054785,249979.643538773,3688371.73909395
126.314676,33.3054784,249979.615313073,3688371.7287221
126.3146759,33.3054783,249979.605714073,3688371.71787053
126.3146758,33.3054782,249979.596115073,3688371.70701897
126.3146756,33.3054781,249979.577202724,3688371.69640726
126.3146754,33.3054779,249979.558004724,3688371.67470412
126.3146751,33.3054778,249979.529779026,3688371.66433228
126.3146747,33.3054776,249979.491954325,3688371.64310886
126.3146746,33.3054776,249979.482640976,3688371.64334872
126.3146742,33.3054774,249979.444816277,3688371.6221253
126.3146739,33.3054772,249979.416304927,3688371.60066203
126.3146735,33.305477,249979.378480226,3688371.57943861
126.3146732,33.3054768,249979.349968876,3688371.55797534
126.3146729,33.3054766,249979.321457526,3688371.53651206
126.3146725,33.3054763,249979.283347172,3688371.50419722
126.314672,33.3054761,249979.236209124,3688371.48321367
126.3146715,33.3054759,249979.189071075,3688371.46223011
126.314671,33.3054759,249979.142504327,3688371.4634294
126.3146705,33.3054756,249979.095080626,3688371.43135442
126.3146699,33.3054754,249979.038629225,3688371.41061073
126.3146692,33.3054753,249978.973150127,3688371.40119831
126.3146687,33.3054751,249978.926012077,3688371.38021476
126.314668,33.3054749,249978.860247326,3688371.35971092
126.3146673,33.3054747,249978.794482577,3688371.33920709
126.3146665,33.3054745,249978.719404476,3688371.31894311
126.3146659,33.3054743,249978.662953074,3688371.29819941
126.3146651,33.3054742,249978.588160627,3688371.28902686
126.3146645,33.305474,249978.531709227,3688371.26828317
126.3146635,33.305474,249978.438575729,3688371.27068176
126.3146627,33.3054739,249978.363783282,3688371.26150921
126.3146618,33.3054739,249978.279963136,3688371.26366795
126.3146608,33.3054737,249978.186258335,3688371.2438837
126.3146601,33.3054735,249978.120493583,3688371.22337987
126.3146591,33.3054734,249978.027074434,3688371.21468704
126.3146582,33.3054732,249977.942682981,3688371.19466293
126.3146572,33.305473,249977.848978178,3688371.17487868
126.3146562,33.3054729,249977.75555903,3688371.16618585
126.314655,33.3054727,249977.643227528,3688371.14688132
126.3146538,33.3054726,249977.531181678,3688371.13866822
126.3146526,33.3054725,249977.419135828,3688371.13045512
126.3146514,33.3054724,249977.307089978,3688371.12224202
126.3146502,33.3054722,249977.194758474,3688371.1029375
126.3146487,33.305472,249977.054486918,3688371.08435256
126.3146473,33.3054718,249976.923528713,3688371.06552776
126.3146458,33.3054716,249976.783257155,3688371.04694283
126.3146444,33.3054716,249976.652870261,3688371.05030088
126.3146429,33.3054715,249976.512884357,3688371.04280737
126.3146413,33.3054714,249976.363585106,3688371.03555373
126.3146397,33.3054714,249976.214571509,3688371.03939152
126.3146382,33.3054714,249976.07487126,3688371.04298944
126.3146367,33.3054715,249975.935456669,3688371.05767879
126.3146351,33.3054715,249975.786443072,3688371.06151658
126.3146335,33.3054715,249975.637429473,3688371.06535438
126.3146319,33.3054716,249975.488701532,3688371.0802836
126.3146304,33.3054718,249975.349572597,3688371.10606438
126.3146287,33.3054719,249975.191531305,3688371.12123347
126.3146272,33.3054721,249975.052402372,3688371.14701426
126.3146257,33.3054722,249974.91298778,3688371.16170362
126.314624,33.3054725,249974.755517805,3688371.19905557
126.3146225,33.3054728,249974.61667453,3688371.23592779
126.314621,33.3054731,249974.477831256,3688371.27280001
126.3146195,33.3054734,249974.338987983,3688371.30967224
126.3146179,33.3054737,249974.190831359,3688371.34678433
126.3146165,33.3054738,249974.060730122,3688371.36123385
126.3146149,33.3054739,249973.912002183,3688371.37616309
126.3146133,33.3054741,249973.763559906,3688371.40218376
126.314612,33.3054741,249973.642486361,3688371.405302
126.3146103,33.3054742,249973.484445076,3688371.42047111
126.3146087,33.3054744,249973.336002798,3688371.44649179
126.3146072,33.3054744,249973.196302554,3688371.45008976
126.3146058,33.3054745,249973.066201319,3688371.46453928
126.3146045,33.3054743,249972.944556456,3688371.44547468
126.3146032,33.3054743,249972.823482909,3688371.44859292
126.3146021,33.3054742,249972.720750406,3688371.44014001
126.3146007,33.3054742,249972.590363511,3688371.44349812
126.3145995,33.3054744,249972.479174634,3688371.46855935
126.3145982,33.3054745,249972.358386748,3688371.48276902
126.314597,33.3054746,249972.246912213,3688371.49673883
126.3145956,33.3054748,249972.117096636,3688371.5222798
126.3145943,33.3054749,249971.996308751,3688371.53648948
126.3145929,33.3054752,249971.866778837,3688371.57312187
126.3145917,33.3054755,249971.755875624,3688371.60927454
126.3145903,33.3054757,249971.626060051,3688371.63481551
126.314589,33.305476,249971.505843489,3688371.67120805
126.3145876,33.3054764,249971.376599238,3688371.71893187
126.3145863,33.3054768,249971.256668341,3688371.76641584
126.314585,33.3054771,249971.136451779,3688371.80280838
126.3145836,33.3054775,249971.007207533,3688371.85053221
126.3145823,33.305478,249970.887562298,3688371.9091076
126.314581,33.3054784,249970.767631403,3688371.95659157
126.3145796,33.3054787,249970.638101499,3688371.99322398
126.3145783,33.3054792,249970.518456266,3688372.05179938
126.3145771,33.3054796,249970.407838723,3688372.09904349
126.3145758,33.30548,249970.287907835,3688372.14652747
126.3145742,33.3054802,249970.139465572,3688372.17254819
126.3145729,33.3054805,249970.019249021,3688372.20894075
126.3145716,33.3054809,249969.899318133,3688372.25642473
126.3145701,33.305481,249969.759903561,3688372.27111417
126.3145687,33.3054813,249969.630373661,3688372.3077466
126.3145673,33.3054816,249969.500843764,3688372.34437903
126.3145659,33.3054819,249969.371313869,3688372.38101146
126.3145645,33.3054822,249969.241783974,3688372.41764389
126.314563,33.3054825,249969.102940731,3688372.45451619
126.3145617,33.3054826,249968.982152859,3688372.46872591
126.3145602,33.3054826,249968.842452626,3688372.47232394
126.3145588,33.3054825,249968.711780076,3688372.46459067
126.3145574,33.3054824,249968.581107528,3688372.45685741
126.3145559,33.3054821,249968.440550302,3688372.42718117
126.3145545,33.3054818,249968.309306424,3688372.39726507
126.3145531,33.3054815,249968.178062543,3688372.36734896
126.3145517,33.3054812,249968.046818663,3688372.33743286
126.3145503,33.3054807,249967.915003452,3688372.2853339
126.3145488,33.3054801,249967.773589227,3688372.2223834
126.3145474,33.3054797,249967.642059676,3688372.18137587
126.3145461,33.305479,249967.518986482,3688372.1068542
126.3145448,33.3054785,249967.396484612,3688372.05451539
126.3145433,33.305478,249967.255356044,3688372.00265631
126.3145419,33.3054775,249967.123540824,3688371.95055737
126.3145406,33.305477,249967.001038952,3688371.89821856
126.3145392,33.3054764,249966.868938063,3688371.83502819
126.3145379,33.3054758,249966.746150522,3688371.77159796
126.3145364,33.3054752,249966.604736277,3688371.70864747
126.3145353,33.3054746,249966.500575434,3688371.64473749
126.3145341,33.3054741,249966.387386902,3688371.59215882
126.3145329,33.3054734,249966.273627037,3688371.51739729
126.3145316,33.3054728,249966.150839488,3688371.45396707
126.3145304,33.3054722,249966.037365286,3688371.39029697
126.3145292,33.3054715,249965.923605417,3688371.31553545
126.314528,33.3054708,249965.809845545,3688371.24077393
126.3145268,33.3054702,249965.696371339,3688371.17710384
126.3145255,33.3054694,249965.573012446,3688371.09149076
126.3145243,33.3054687,249965.459252569,3688371.01672925
126.3145231,33.305468,249965.34549269,3688370.94196773
126.3145219,33.3054674,249965.232018477,3688370.87829764
126.3145207,33.3054667,249965.118258595,3688370.80353613
126.3145194,33.305466,249964.99518536,3688370.72901449
126.3145182,33.3054654,249964.881711142,3688370.66534441
126.3145171,33.3054647,249964.777264605,3688370.59034303
126.3145158,33.305464,249964.654191365,3688370.51582139
126.3145146,33.3054633,249964.540431474,3688370.44105989
126.3145132,33.3054627,249964.408330545,3688370.37786955
126.3145121,33.305462,249964.303884003,3688370.30286818
126.3145109,33.3054613,249964.190124106,3688370.22810668
126.3145097,33.3054606,249964.076364208,3688370.15334517
126.3145086,33.30546,249963.972203328,3688370.08943522
126.3145073,33.3054593,249963.849130075,3688370.0149136
126.314506,33.3054588,249963.726628156,3688369.96257483
126.3145048,33.3054581,249963.612868251,3688369.88781333
126.3145035,33.3054576,249963.490366334,3688369.83547456
126.3145022,33.3054571,249963.367864413,3688369.78313579
126.314501,33.3054566,249963.254675842,3688369.73055715
126.3144996,33.3054561,249963.122860564,3688369.67845826
126.3144983,33.3054556,249963.000358639,3688369.6261195
126.314497,33.3054553,249962.878428053,3688369.59596358
126.3144957,33.3054549,249962.756211796,3688369.55471625
126.3144944,33.3054545,249962.633995537,3688369.51346892
126.3144929,33.3054542,249962.493438244,3688369.48379276
126.3144916,33.3054538,249962.371221981,3688369.44254543
126.3144901,33.3054536,249962.230950357,3688369.4239607
126.3144889,33.3054533,249962.118333118,3688369.39356492
126.3144874,33.305453,249961.977775821,3688369.36388877
126.3144861,33.3054529,249961.85641657,3688369.35591572
126.3144846,33.3054525,249961.7155736,3688369.31514815
126.3144832,33.3054524,249961.584900994,3688369.30741498
126.3144819,33.3054523,249961.463541742,3688369.29944194
126.3144805,33.3054521,249961.332583465,3688369.28061735
126.314479,33.3054521,249961.19288318,3688369.28421548
126.3144776,33.3054521,249961.062496247,3688369.28757375
126.3144762,33.3054521,249960.932109314,3688369.29093201
126.3144748,33.3054521,249960.801722379,3688369.29429028
126.3144734,33.3054522,249960.671621118,3688369.30873997
126.3144719,33.3054524,249960.532492179,3688369.33452097
126.3144706,33.3054527,249960.412275617,3688369.37091364
126.3144692,33.305453,249960.282745705,3688369.40754619
126.3144678,33.3054533,249960.15321579,3688369.44417875
126.3144665,33.3054538,249960.033570578,3688369.50275428
126.3144651,33.3054542,249959.904326342,3688369.55047826
126.3144638,33.3054547,249959.784681133,3688369.60905379
126.3144626,33.3054553,249959.67463495,3688369.67848087
126.3144613,33.3054558,249959.554989744,3688369.73705641
126.31446,33.3054564,249959.435630213,3688369.80672337
126.3144589,33.305457,249959.334897387,3688369.87591058
126.3144576,33.3054576,249959.215537859,3688369.94557754
126.3144565,33.3054583,249959.115090711,3688370.02585618
126.3144555,33.305459,249959.023956915,3688370.10589494
126.3144543,33.3054597,249958.914196419,3688370.18641346
126.3144533,33.3054605,249958.823348302,3688370.27754364
126.3144522,33.3054613,249958.723186835,3688370.36891371
126.3144512,33.3054622,249958.632624397,3688370.47113532
126.3144502,33.305463,249958.541776285,3688370.56226552
126.3144493,33.3054637,249958.459955853,3688370.6420644
126.3144484,33.3054646,249958.378706771,3688370.74404614
126.3144476,33.3054654,249958.306485366,3688370.83469658
126.3144467,33.3054663,249958.22523629,3688370.93667832
126.3144457,33.3054673,249958.134959536,3688371.04999136
126.3144449,33.3054681,249958.062738138,3688371.1406418
126.3144439,33.3054689,249957.971890038,3688371.231772
126.3144426,33.3054694,249957.85224486,3688371.29034756
126.3144413,33.3054699,249957.732599683,3688371.34892312
126.3144399,33.3054703,249957.603355481,3688371.39664713
126.3144386,33.3054707,249957.48342463,3688371.44413127
126.3144373,33.305471,249957.363208102,3688371.48052398
126.314436,33.3054715,249957.243562932,3688371.53909954
126.314435,33.3054721,249957.15214349,3688371.6080469
126.3144339,33.3054727,249957.051410698,3688371.67723413
126.3144328,33.3054735,249956.951249262,3688371.76860422
126.3144318,33.3054742,249956.860115501,3688371.848643
126.3144309,33.305475,249956.778580769,3688371.93953333
126.31443,33.305476,249956.697617395,3688372.05260651
126.3144291,33.3054769,249956.616368344,3688372.15458827
126.3144284,33.3054779,249956.554031671,3688372.26718169
126.3144279,33.305479,249956.51060738,3688372.39038678
126.3144274,33.3054801,249956.467183087,3688372.51359186
126.314427,33.3054813,249956.433357824,3688372.64764849
126.3144267,33.3054825,249956.408845912,3688372.78146525
126.3144263,33.3054837,249956.37502065,3688372.91552188
126.3144261,33.3054849,249956.359822089,3688373.04909875
126.3144255,33.3054861,249956.307370133,3688373.18363515
