Long,Lat
126.3144678,33.3057401
126.3144673,33.305741
126.3144668,33.3057419
126.3144663,33.3057428
126.3144657,33.3057435
126.3144653,33.3057445
126.314465,33.3057453
126.3144645,33.3057462
126.3144639,33.305747
126.3144635,33.3057479
126.314463,33.3057488
126.3144625,33.3057496
126.3144621,33.3057505
126.3144613,33.3057513
126.3144607,33.3057522
126.3144602,33.3057529
126.3144595,33.3057538
126.314459,33.3057547
126.3144584,33.3057555
126.3144578,33.3057562
126.3144573,33.3057571
126.3144567,33.305758
126.3144561,33.3057589
126.3144555,33.3057598
126.3144549,33.3057606
126.3144545,33.3057614
126.3144539,33.3057624
126.3144532,33.3057632
126.3144527,33.3057641
126.3144521,33.305765
126.3144516,33.305766
126.3144508,33.3057669
126.3144503,33.3057678
126.3144497,33.3057688
126.314449,33.3057696
126.3144485,33.3057706
126.3144477,33.3057714
126.3144471,33.3057722
126.3144465,33.3057732
126.3144459,33.3057741
126.314445,33.3057749
126.3144444,33.3057759
126.3144437,33.3057767
126.314443,33.3057776
126.3144422,33.3057785
126.3144416,33.3057793
126.3144408,33.3057801
126.3144401,33.305781
126.3144393,33.3057819
126.3144385,33.3057827
126.3144378,33.3057835
126.314437,33.3057844
126.3144363,33.3057853
126.3144355,33.3057861
126.3144349,33.3057871
126.3144343,33.305788
126.3144335,33.3057888
126.3144329,33.3057897
126.3144321,33.3057905
126.3144315,33.3057914
126.3144309,33.3057922
126.3144302,33.3057931
126.3144295,33.3057939
126.3144288,33.3057948
126.3144282,33.3057956
126.3144274,33.3057964
126.3144265,33.3057974
126.3144257,33.3057983
126.3144249,33.3057991
126.3144241,33.3057999
126.3144233,33.3058008
126.3144225,33.3058016
126.3144216,33.3058023
126.3144208,33.3058032
126.3144201,33.305804
126.3144192,33.3058047
126.3144183,33.3058054
126.3144174,33.305806
126.3144165,33.3058068
126.3144157,33.3058076
126.3144148,33.3058082
126.3144139,33.305809
126.3144129,33.3058098
126.3144121,33.3058104
126.3144112,33.3058112
