Long,Lat,UTM_X(East),UTM_Y(North)
126.3144933,33.3055837,249962.90063580283,3688383.846229473
126.3144935,33.3055843,249962.92097650885,3688383.912298279
126.3144938,33.305585,249962.95091622428,3688383.9892186327
126.314494,33.3055857,249962.97154260136,3688384.0663788635
126.3144941,33.3055864,249962.9828556427,3688384.143778968
126.3144944,33.3055871,249963.01279535712,3688384.220699322
126.3144946,33.3055878,249963.03342173333,3688384.2978595532
126.3144948,33.3055886,249963.0543337809,3688384.386111209
126.314495,33.3055892,249963.07467448516,3688384.452180013
126.3144952,33.30559,249963.09558653214,3688384.5404316704
126.3144954,33.3055907,249963.11621290972,3688384.6175919003
126.3144956,33.3055913,249963.1365536132,3688384.683660705
126.3144959,33.305592,249963.16649332514,3688384.7605810594
126.314496,33.3055928,249963.17809203384,3688384.8490725905
126.3144962,33.3055935,249963.19871840795,3688384.9262328213
126.3144963,33.3055943,249963.21031711873,3688385.014724353
126.3144965,33.3055951,249963.23122916382,3688385.102976009
126.3144967,33.3055958,249963.2518555372,3688385.1801362387
126.3144969,33.3055966,249963.27276758177,3688385.268387896
126.314497,33.3055973,249963.284080618,3688385.345788001
126.3144972,33.3055981,249963.30499266204,3688385.434039657
126.3144974,33.3055988,249963.32561903447,3688385.5111998883
126.3144976,33.3055995,249963.3462454066,3688385.5883601196
126.3144978,33.3056003,249963.36715745222,3688385.6766117755
126.314498,33.305601,249963.38778382383,3688385.7537720073
126.3144982,33.3056017,249963.40841019517,3688385.8309322363
126.3144984,33.3056024,249963.4290365663,3688385.908092466
126.3144986,33.3056032,249963.4499486083,3688385.9963441244
126.3144988,33.3056039,249963.4705749789,3688386.0735043553
126.314499,33.3056046,249963.4912013515,3688386.150664586
126.3144991,33.3056052,249963.50222871464,3688386.2169732656
126.3144994,33.3056059,249963.53216842018,3688386.2938936222
126.3144995,33.3056066,249963.54348145405,3688386.3712937273
126.3144997,33.3056073,249963.56410782336,3688386.4484539586
126.3144999,33.3056081,249963.58501986592,3688386.5367056155
126.3145001,33.3056088,249963.60564623476,3688386.6138658472
126.3145002,33.3056094,249963.61667359676,3688386.680174527
126.3145005,33.3056101,249963.64661330043,3688386.7570948834
126.3145007,33.3056109,249963.66752533955,3688386.8453465393
126.3145009,33.3056115,249963.68786603623,3688386.911415345
126.3145008,33.3056123,249963.68083806965,3688387.000386626
126.3145007,33.305613,249963.67352443218,3688387.0782664823
126.314501,33.3056137,249963.70346413692,3688387.155186837
126.3145011,33.3056143,249963.71449149805,3688387.221495518
126.3145012,33.305615,249963.7258045279,3688387.2988956245
126.3145013,33.3056156,249963.73683189123,3688387.365204304
126.3145014,33.3056162,249963.7478592521,3688387.4315129835
126.3145015,33.3056169,249963.75917228387,3688387.508913089
126.3145016,33.3056175,249963.77019964458,3688387.5752217686
126.3145016,33.3056181,249963.77191367073,3688387.641770323
126.3145018,33.3056187,249963.79225436563,3688387.707839128
126.3145019,33.3056194,249963.80356739703,3688387.785239235
126.3145019,33.30562,249963.80528142312,3688387.8517877907
126.314502,33.3056206,249963.81630878334,3688387.91809647
126.314502,33.3056212,249963.81802280937,3688387.9846450244
126.3145021,33.3056219,249963.82933584045,3688388.0620451304
126.3145021,33.3056225,249963.8310498665,3688388.1285936846
126.3145022,33.3056231,249963.84207722894,3688388.1949023646
126.3145024,33.3056237,249963.8624179202,3688388.2609711722
126.3145024,33.3056243,249963.8641319462,3688388.327519726
126.3145024,33.3056249,249963.86584597206,3688388.3940682802
126.3145025,33.3056254,249963.8765876631,3688388.4492855337
126.3145027,33.305626,249963.89692835615,3688388.51535434
126.3145028,33.3056265,249963.90767004457,3688388.570571595
126.3145028,33.3056271,249963.9093840704,3688388.63712015
126.3145029,33.3056276,249963.9201257586,3688388.6923374035
126.314503,33.3056281,249963.93086744688,3688388.747554658
126.3145032,33.3056288,249963.95149381008,3688388.82471489
126.3145032,33.3056293,249963.95292216475,3688388.880172019
126.3145033,33.3056299,249963.96394952366,3688388.946480699
126.3145035,33.3056305,249963.98429021784,3688389.0125495056
126.3145035,33.3056311,249963.98600424343,3688389.0790980603
126.3145035,33.3056317,249963.98771826897,3688389.1456466145
126.3145036,33.3056324,249963.999031296,3688389.2230467196
126.3145037,33.305633,249964.01005865668,3688389.2893554
126.3145038,33.3056337,249964.02137168596,3688389.3667555065
126.3145038,33.3056345,249964.02365705333,3688389.4554869127
126.3145038,33.3056352,249964.02565674976,3688389.533126893
126.3145039,33.3056359,249964.03696977874,3688389.610526999
126.3145038,33.3056367,249964.0299418138,3688389.69949828
126.3145038,33.3056376,249964.0325128522,3688389.7993211113
126.3145039,33.3056385,249964.0443972229,3688389.89890407
126.3145039,33.3056394,249964.04696826145,3688389.9987269
126.3145038,33.3056404,249964.04051163894,3688390.1098810327
126.3145039,33.3056414,249964.05268168057,3688390.220555417
126.3145038,33.3056424,249964.0462250584,3688390.33170955
126.3145038,33.3056435,249964.0493674392,3688390.453715232
